"","guess","expectation","min","max_remain","remaining"
"1","email",1.58496250072116,1.58496250072116,1,TRUE
"2","ideal",1.58496250072116,1.58496250072116,1,TRUE
"3","media",1.58496250072116,1.58496250072116,1,TRUE
"4","abled",1.58496250072116,1.58496250072116,1,FALSE
"5","acrid",1.58496250072116,1.58496250072116,1,FALSE
"6","adage",1.58496250072116,1.58496250072116,1,FALSE
"7","adapt",1.58496250072116,1.58496250072116,1,FALSE
"8","adept",1.58496250072116,1.58496250072116,1,FALSE
"9","admin",1.58496250072116,1.58496250072116,1,FALSE
"10","admit",1.58496250072116,1.58496250072116,1,FALSE
